// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/rroy1/development/DreamPipe/PipeDream/PipeDream/bin/Release/netcoreapp3.1/e5d6d11e-09d5-48d1-bbaa-3832ff2c3f1a
// command took 1.25s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/rroy1/development/DreamPipe/PipeDream/PipeDream/bin/Release/netcoreapp3.1/e5d6d11e-09d5-48d1-bbaa-3832ff2c3f1a
// command took 1.88s and exited with 0
// ***** Done, took 00:00:03 (3.22 sec)   *****
// Found 2 benchmarks:
//   Pipelines.SerialAnnotation: DefaultJob
//   Pipelines.ParallelAnnotation: DefaultJob

// **************************
// Benchmark: Pipelines.SerialAnnotation: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e5d6d11e-09d5-48d1-bbaa-3832ff2c3f1a.dll" --benchmarkName "PipeDream.Pipelines.SerialAnnotation" --job "Default" --benchmarkId 0 in /Users/rroy1/development/DreamPipe/PipeDream/PipeDream/bin/Release/netcoreapp3.1/e5d6d11e-09d5-48d1-bbaa-3832ff2c3f1a/bin/Release/netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.2 (CoreCLR 4.700.20.6602, CoreFX 4.700.20.6702), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 211010.00 ns, 211.0100 us/op
WorkloadJitting  1: 1 op, 1746372498.00 ns, 1.7464 s/op

WorkloadWarmup   1: 1 op, 1580420746.00 ns, 1.5804 s/op
WorkloadWarmup   2: 1 op, 1522494460.00 ns, 1.5225 s/op
WorkloadWarmup   3: 1 op, 1550964910.00 ns, 1.5510 s/op
WorkloadWarmup   4: 1 op, 1487116503.00 ns, 1.4871 s/op
WorkloadWarmup   5: 1 op, 1474036502.00 ns, 1.4740 s/op
WorkloadWarmup   6: 1 op, 1510333811.00 ns, 1.5103 s/op
WorkloadWarmup   7: 1 op, 1555686365.00 ns, 1.5557 s/op
WorkloadWarmup   8: 1 op, 1536264383.00 ns, 1.5363 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 1524940337.00 ns, 1.5249 s/op
WorkloadActual   2: 1 op, 1553951282.00 ns, 1.5540 s/op
WorkloadActual   3: 1 op, 1504840835.00 ns, 1.5048 s/op
WorkloadActual   4: 1 op, 1552214011.00 ns, 1.5522 s/op
WorkloadActual   5: 1 op, 1483605793.00 ns, 1.4836 s/op
WorkloadActual   6: 1 op, 1478745262.00 ns, 1.4787 s/op
WorkloadActual   7: 1 op, 1431512664.00 ns, 1.4315 s/op
WorkloadActual   8: 1 op, 1529376912.00 ns, 1.5294 s/op
WorkloadActual   9: 1 op, 1553968760.00 ns, 1.5540 s/op
WorkloadActual  10: 1 op, 1540765088.00 ns, 1.5408 s/op
WorkloadActual  11: 1 op, 1517335349.00 ns, 1.5173 s/op
WorkloadActual  12: 1 op, 1525940237.00 ns, 1.5259 s/op
WorkloadActual  13: 1 op, 1448999032.00 ns, 1.4490 s/op
WorkloadActual  14: 1 op, 1561621236.00 ns, 1.5616 s/op
WorkloadActual  15: 1 op, 1441779084.00 ns, 1.4418 s/op
WorkloadActual  16: 1 op, 1466565926.00 ns, 1.4666 s/op
WorkloadActual  17: 1 op, 1490667644.00 ns, 1.4907 s/op
WorkloadActual  18: 1 op, 1612908610.00 ns, 1.6129 s/op
WorkloadActual  19: 1 op, 1555243137.00 ns, 1.5552 s/op
WorkloadActual  20: 1 op, 1537335820.00 ns, 1.5373 s/op
WorkloadActual  21: 1 op, 1520005201.00 ns, 1.5200 s/op
WorkloadActual  22: 1 op, 1523614500.00 ns, 1.5236 s/op
WorkloadActual  23: 1 op, 1502556900.00 ns, 1.5026 s/op
WorkloadActual  24: 1 op, 1460685641.00 ns, 1.4607 s/op
WorkloadActual  25: 1 op, 1480241118.00 ns, 1.4802 s/op
WorkloadActual  26: 1 op, 1464385531.00 ns, 1.4644 s/op
WorkloadActual  27: 1 op, 1524450185.00 ns, 1.5245 s/op
WorkloadActual  28: 1 op, 1533108042.00 ns, 1.5331 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 1524940337.00 ns, 1.5249 s/op
WorkloadResult   2: 1 op, 1553951282.00 ns, 1.5540 s/op
WorkloadResult   3: 1 op, 1504840835.00 ns, 1.5048 s/op
WorkloadResult   4: 1 op, 1552214011.00 ns, 1.5522 s/op
WorkloadResult   5: 1 op, 1483605793.00 ns, 1.4836 s/op
WorkloadResult   6: 1 op, 1478745262.00 ns, 1.4787 s/op
WorkloadResult   7: 1 op, 1431512664.00 ns, 1.4315 s/op
WorkloadResult   8: 1 op, 1529376912.00 ns, 1.5294 s/op
WorkloadResult   9: 1 op, 1553968760.00 ns, 1.5540 s/op
WorkloadResult  10: 1 op, 1540765088.00 ns, 1.5408 s/op
WorkloadResult  11: 1 op, 1517335349.00 ns, 1.5173 s/op
WorkloadResult  12: 1 op, 1525940237.00 ns, 1.5259 s/op
WorkloadResult  13: 1 op, 1448999032.00 ns, 1.4490 s/op
WorkloadResult  14: 1 op, 1561621236.00 ns, 1.5616 s/op
WorkloadResult  15: 1 op, 1441779084.00 ns, 1.4418 s/op
WorkloadResult  16: 1 op, 1466565926.00 ns, 1.4666 s/op
WorkloadResult  17: 1 op, 1490667644.00 ns, 1.4907 s/op
WorkloadResult  18: 1 op, 1612908610.00 ns, 1.6129 s/op
WorkloadResult  19: 1 op, 1555243137.00 ns, 1.5552 s/op
WorkloadResult  20: 1 op, 1537335820.00 ns, 1.5373 s/op
WorkloadResult  21: 1 op, 1520005201.00 ns, 1.5200 s/op
WorkloadResult  22: 1 op, 1523614500.00 ns, 1.5236 s/op
WorkloadResult  23: 1 op, 1502556900.00 ns, 1.5026 s/op
WorkloadResult  24: 1 op, 1460685641.00 ns, 1.4607 s/op
WorkloadResult  25: 1 op, 1480241118.00 ns, 1.4802 s/op
WorkloadResult  26: 1 op, 1464385531.00 ns, 1.4644 s/op
WorkloadResult  27: 1 op, 1524450185.00 ns, 1.5245 s/op
